code,label
SERIAL,Serial ID
PROV,Provinsi
KABKOTA,Kab / Kota
CABANG,NAMA KANTOR CABANG
S1,Jenis kelamin
S2_1,Berapa tahun usia Anda? __ tahun
S2_2,Range Usia
S3,Apakah Bapak/Ibu merupakan nasabah (pemilik rekening) di Bank XYZ?
S4,Sudah berapa lamakah Bapak/Ibu menjadi nasabah Bank XYZ?
S5,Apakah Bapak/Ibu atau salah satu anggota keluarga ada yang bekerja di bank?
S6,"Dari tabel di bawah ini, masuk ke dalam kategori apakah Bapak/Ibu saat ini?"
S_S6_10,Others
S7,"Seberapa sering Bapak/Ibu melakukan transaksi dengan Bank XYZ, baik secara online dengan mobile banking atau datang ke kantor cabang Bank XYZ ?"
A1A,Bank mana saja yang saat ini masih aktif Bapak/Ibu gunakan?
S_A1A_23,Others.1
S_A1A_24,Others.2
A1AX,Bank mana saja yang saat ini masih aktif Bapak/Ibu gunakan? SELAIN XYZ
S_A1AX_23,Others.3
S_A1AX_24,Others.4
A1B,Bank manakah yang merupakan rekening utama untuk Bapak/Ibu menyimpan dana?
A1XX,Kompetitor terpilih
A1C,"Bank manakah yang merupakan rekening utama untuk Bapak/Ibu bertransaksi (belanja, transfer, dsb)?"
A1X,Kompetitor terpilih.1
A2,Apa tujuan Anda pertama kali membuka rekening di Bank XYZ ? Apa lagi? Apa lagi?
S_A2_6,Others.5
B3,Mengapa anda menggunakan Bank {0} sebagai bank yang paling sering digunakan untuk bertransaksi? Apa lagi? Apa lagi?
S_B3_11,Others.6
B4,Mengapa anda menggunakan Bank {0} sebagai bank yang digunakan untuk menyimpan dana utama anda? Apa lagi? Apa lagi?
S_B4_13,Others.7
KOMP,Kompetitor terpilih.2
B1,Apakah motivasi Anda dalam membuka rekening tabungan di bank?
S_B1_13,Others.8
T_C1A_1,Bank yang terkenal/terkemuka
T_C1A_2,Bank yang digunakan banyak orang
T_C1A_3,Bank yang membuat saya merasa aman
T_C1A_4,Bank yang membuat saya merasa dihargai menjadi nasabah bank ini
T_C1A_5,Bank yang memiliki banyak ATM
T_C1A_6,Bank yang memiliki banyak kantor cabang
T_C1A_7,Bank yang memiliki reputasi yang baik
T_C1A_8,Bank yang menawarkan produk/layanan yang lengkap
T_C1A_9,Menyediakan layanan online terkait dengan informasi produk
T_C1A_10,"Menyediakan banyak channel (call center, sms, email, dsb) untuk nasabah menyampaikan keluhan/saran"
T_C1A_11,Bank yang menguntungkan untuk investasi/pengembangan kekayaan/uang saya
T_C1A_12,Bank yang membuat saya merasa bangga karena produk/layanan/promo yang tidak saya dapatkan dari bank lain
T_C1A_13,Bank yang membuat saya merasa percaya diri dan dapat mengontrol penuh kebutuhan transaksi perbankan saya
T_C1A_14,Bank yang membuat saya merasa prestigious/bergengsi
T_C1A_15,Bank yang memberikan kemudahan untuk bertransaksi dimanapun dan kapanpun
T_C1A_16,Bank yang mempermudah bisnis saya
T_C1A_17,Bank yang memberikan banyak kemudahan
T_C1A_18,Bank yang memiliki kinerja bisnis yang baik
T_C1A_19,Bank yang selalu menggunakan teknologi terbaru
T_C1A_20,Bank yang dimiliki oleh negara
T_C1A_21,Bank swasta terbesar di Indonesia
T_C1A_22,"Memberikan keuntungan saat digunakan untuk bertransaksi (diskon, cashback, point rewards)"
T_C1A_23,"Memiliki fitur transaksi di e-channel lengkap (ATM, mobile banking, internet banking) lengkap"
T_C1A_24,Bank dengan segala produk dan fasilitas yang membuat saya merasa cukup dengan menjadi nasabah satu bank saja
T_C1B_2,Bank yang terkenal/terkemuka - XYZ
T_C1B_5,Bank yang digunakan banyak orang - XYZ
T_C1B_8,Bank yang membuat saya merasa aman - XYZ
T_C1B_11,Bank yang membuat saya merasa dihargai menjadi nasabah bank ini - XYZ
T_C1B_14,Bank yang memiliki banyak ATM - XYZ
T_C1B_17,Bank yang memiliki banyak kantor cabang - XYZ
T_C1B_20,Bank yang memiliki reputasi yang baik - XYZ
T_C1B_23,Bank yang menawarkan produk/layanan yang lengkap - XYZ
T_C1B_26,Menyediakan layanan online terkait dengan informasi produk - XYZ
T_C1B_29,"Menyediakan banyak channel (call center, sms, email, dsb) untuk nasabah menyampaikan keluhan/saran - XYZ"
T_C1B_32,Bank yang menguntungkan untuk investasi/pengembangan kekayaan/uang saya - XYZ
T_C1B_35,Bank yang membuat saya merasa bangga karena produk/layanan/promo yang tidak saya dapatkan dari bank lain - XYZ
T_C1B_38,Bank yang membuat saya merasa percaya diri dan dapat mengontrol penuh kebutuhan transaksi perbankan saya - XYZ
T_C1B_41,Bank yang membuat saya merasa prestigious/bergengsi - XYZ
T_C1B_44,Bank yang memberikan kemudahan untuk bertransaksi dimanapun dan kapanpun - XYZ
T_C1B_47,Bank yang mempermudah bisnis saya - XYZ
T_C1B_50,Bank yang memberikan banyak kemudahan - XYZ
T_C1B_53,Bank yang memiliki kinerja bisnis yang baik - XYZ
T_C1B_56,Bank yang selalu menggunakan teknologi terbaru - XYZ
T_C1B_59,Bank yang dimiliki oleh negara - XYZ
T_C1B_62,Bank swasta terbesar di Indonesia - XYZ
T_C1B_65,"Memberikan keuntungan saat digunakan untuk bertransaksi (diskon, cashback, point rewards) - XYZ"
T_C1B_68,"Memiliki fitur transaksi di e-channel lengkap (ATM, mobile banking, internet banking) lengkap - XYZ"
T_C1B_71,Bank dengan segala produk dan fasilitas yang membuat saya merasa cukup dengan menjadi nasabah satu bank saja - XYZ
T_C1B_3,Bank yang terkenal/terkemuka - kompetitor
T_C1B_6,Bank yang digunakan banyak orang - kompetitor
T_C1B_9,Bank yang membuat saya merasa aman - kompetitor
T_C1B_12,Bank yang membuat saya merasa dihargai menjadi nasabah bank ini - kompetitor
T_C1B_15,Bank yang memiliki banyak ATM - kompetitor
T_C1B_18,Bank yang memiliki banyak kantor cabang - kompetitor
T_C1B_21,Bank yang memiliki reputasi yang baik - kompetitor
T_C1B_24,Bank yang menawarkan produk/layanan yang lengkap - kompetitor
T_C1B_27,Menyediakan layanan online terkait dengan informasi produk - kompetitor
T_C1B_30,"Menyediakan banyak channel (call center, sms, email, dsb) untuk nasabah menyampaikan keluhan/saran - kompetitor"
T_C1B_33,Bank yang menguntungkan untuk investasi/pengembangan kekayaan/uang saya - kompetitor
